ID,Title,Pillar,Priority,Effort,Current_Apex_Status,Category_Leading,Parity_Gap,Competitors_With_It,Gap_Analysis_Ref,Sprint,Notes
FR-MON-001,Query ChatGPT via OpenAI API,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.1,S1,Already live in src/lib/scraping/chatgpt-scraper.ts
FR-MON-002,Query Claude via Anthropic API,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.1,S1,Already live in claude-scraper.ts
FR-MON-003,Query Gemini via Google AI Studio,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.1,S1,Live
FR-MON-004,Query Perplexity via API,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.1,S1,Live
FR-MON-005,Query Grok via xAI API,MONITOR,P0,S,Partial,,,Profound Athena Goodie,GapAnalysis-§2.1,S1,Scraper exists; API key missing in .env.example
FR-MON-006,Query DeepSeek single-turn,MONITOR,P0,S,Shipping,,,Profound Goodie,GapAnalysis-§2.1,S1,Live
FR-MON-007,Query Microsoft Copilot,MONITOR,P1,M,Missing,,🎯,Profound Peec Athena Goodie Ahrefs,GapAnalysis-§2.1,S2,UI scrape required; consider Playwright
FR-MON-008,Query Google AI Overviews via SerpAPI,MONITOR,P1,M,Partial,,🎯,Profound Peec Athena Goodie Semrush Ahrefs,GapAnalysis-§2.1,S2,SerpAPI or DataForSEO
FR-MON-009,Query Google AI Mode,MONITOR,P1,M,Missing,,🎯,Profound Peec Athena Goodie Ahrefs,GapAnalysis-§2.1,S2,New surface as of 2025
FR-MON-010,Query Meta AI,MONITOR,P2,M,Missing,,,Profound Athena Goodie,GapAnalysis-§2.1,S2,Defer if effort high
FR-MON-011,Query Amazon Rufus,MONITOR,P3,L,Missing,,,Goodie,GapAnalysis-§2.1,S6+,Only Goodie has it; spike 1 week
FR-MON-012,Query ChatGPT Search separately from base GPT,MONITOR,P1,M,Partial,,🎯,Profound Peec Athena Goodie,GapAnalysis-§2.1,S2,Different answer distribution than raw API
FR-MON-013,Parallel fan-out across all LLMs,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.2,S1,multi-platform-query.ts
FR-MON-014,N-runs averaging with variance reporting,MONITOR,P1,M,Missing,🏆,,None publicly,GapAnalysis-§2.2,S3,Be first to publish N; statistical rigor marketing
FR-MON-015,Confidence intervals on every metric,MONITOR,P2,M,Missing,🏆,,None,GapAnalysis-§2.2,S3,Paired with FR-MON-014
FR-MON-016,Geo-distributed scraping endpoints,MONITOR,P1,L,Missing,,🎯,Peec confirmed,GapAnalysis-§2.2,S3,Cloudflare Workers SA/EU/US/UK
FR-MON-017,Residential proxy rotation,MONITOR,P1,M,Partial,,,Profound Peec Athena,GapAnalysis-§2.2,S3,Via Browserless today
FR-MON-018,Browser session persistence per persona,MONITOR,P1,M,Partial,,,Profound Peec,GapAnalysis-§2.2,S3,For multi-turn tracking
FR-MON-019,Rate-limit-aware scheduling,MONITOR,P1,S,Partial,,,All Tier-1,GapAnalysis-§2.2,S3,BullMQ infrastructure exists
FR-MON-020,Prompt library versioning via Langfuse,MONITOR,P1,M,Missing,,,None transparently,GapAnalysis-§2.2,S3,Self-host Langfuse
FR-MON-021,NER brand mention detection via Presidio,MONITOR,P0,M,Missing,,,Industry-standard,GapAnalysis-§2.3,S2,Prevent ambiguous-brand false positives
FR-MON-022,Fuzzy entity resolution via Qdrant embeddings,MONITOR,P0,M,Missing,,,Industry-standard,GapAnalysis-§2.3,S2,MSFT = Microsoft collapse
FR-MON-023,Competitor extraction from same prompt,MONITOR,P0,M,Partial,,🎯,All Tier-1,GapAnalysis-§2.3,S2,Share-of-voice foundation
FR-MON-024,Citation URL extraction + domain quality,MONITOR,P1,S,Partial,,🎯,Profound Goodie,GapAnalysis-§2.3,S2,Store + score citations
FR-MON-025,Sentiment analysis with reasoning quote,MONITOR,P1,S,Partial,,🎯,Profound Peec Athena Goodie,GapAnalysis-§2.3,S2,Goodie has crisis-monitoring
FR-MON-026,Cross-platform consistency score,MONITOR,P2,M,Missing,🏆,,None,GapAnalysis-§2.3,S5,Novel metric
FR-MON-027,Time-series storage of scores,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.5,S1,geo_scores table exists
FR-MON-028,7/30/90-day trend views + YoY,MONITOR,P1,S,Partial,,,All Tier-1,GapAnalysis-§2.5,S2,UI work
FR-MON-029,Anomaly detection,MONITOR,P1,M,Missing,,🎯,Profound,GapAnalysis-§2.5,S2,3σ threshold
FR-MON-030,Alert delivery email/Slack/Teams/webhook/in-app,MONITOR,P1,S,Missing,,🎯,All Tier-1,GapAnalysis-§2.5,S2,5 channels
FR-MON-031,Alert digest daily/weekly email,MONITOR,P1,S,Missing,,,All Tier-1,GapAnalysis-§2.5,S2,Opt-in
FR-MON-032,AI crawler robots.txt detection,MONITOR,P0,S,Shipping,,,All Tier-1,GapAnalysis-§2.6,S1,ai-crawler-check.ts has 5 bots
FR-MON-033,Server-side log ingestion for AI bot hits,MONITOR,P2,XL,Missing,,🎯,Profound,GapAnalysis-§2.6,S5,Profound Agent Analytics moat
FR-MON-034,Real-time WebSocket answer-diff stream,MONITOR,P2,L,Missing,🏆,,None,GapAnalysis-§15.5,S5,Category-first
FR-CRE-001,Dual-model content generation Claude+GPT streaming,CREATE,P0,S,Shipping,,,Jasper Writesonic,GapAnalysis-§3.1,S1,content-generator.ts live
FR-CRE-002,Brand voice training from writing samples,CREATE,P0,L,Partial,,🎯,Jasper Athena,GapAnalysis-§3.1,S1,Jasper dominates here
FR-CRE-003,Brand data integration (PDFs URLs docs),CREATE,P1,L,Missing,,🎯,Jasper Athena Writesonic,GapAnalysis-§3.1,S3,RAG pipeline
FR-CRE-004,AEO-focused content brief,CREATE,P1,M,Partial,,,Writesonic Frase,GapAnalysis-§3.1,S3,
